epc_code,product_serial,product_name,hub_type,event_type,event_time,latitude,longitude
001.8805843.584374.000000001,1,Product 1,Yeongju,commissioning,2025-01-21 17:54,36.8032,128.6083
001.8805843.584374.000000001,1,Product 1,Yeongju,aggregation,2025-01-21 18:15,36.8032,128.6083
001.8805843.584374.000000001,1,Product 1,Yeongju,WMS_inbound,2025-01-21 18:55,36.8032,128.6083
001.8805843.584374.000000001,1,Product 1,Yeongju,stock_inbound(HUB),2025-01-25 10:51,36.8032,128.6083
001.8805843.584374.000000001,1,Product 1,Busan_yangsan,WMS_outbound,2025-01-25 7:35,35.354865,129.043881
001.8805843.584374.000000001,1,Product 1,Busan_yangsan,stock_inbound(Wholesaler),2025-03-02 12:21,35.354865,129.043881
001.8805843.584374.000000001,1,Product 1,Busan_dongnea,stock_outbound(HUB),2025-03-02 4:15,35.202279,129.083947
001.8805843.584374.000000001,1,Product 1,Busan_dongnea,stock_outbound(Wholesaler),2025-03-28 3:16,35.202279,129.083947
001.8805843.584374.000000001,1,Product 1,Busan_gumjung,stock_inbound(Reseller),2025-03-28 7:33,35.259242,129.092119
001.8805843.584374.000000001,1,Product 1,Busan_gumjung,stock_outbound(Sell),2025-04-17 14:25,35.259242,129.092119
001.8805843.584374.000000002,2,Product 1,Yeongju,commissioning,2025-01-21 17:54,36.8032,128.6083
001.8805843.584374.000000002,2,Product 1,Yeongju,aggregation,2025-01-21 18:20,36.8032,128.6083
001.8805843.584374.000000002,2,Product 1,Yeongju,WMS_inbound,2025-01-21 18:50,36.8032,128.6083
001.8805843.584374.000000002,2,Product 1,Yeongju,WMS_outbound,2025-02-07 6:47,36.8032,128.6083
001.8805843.584374.000000002,2,Product 1,Busan_yangsan,stock_inbound(HUB),2025-02-07 9:20,35.354865,129.043881
001.8805843.584374.000000002,2,Product 1,Busan_yangsan,stock_outbound(HUB),2025-03-06 5:35,35.354865,129.043881
001.8805843.584374.000000002,2,Product 1,Busan_dongnea,stock_inbound(Wholesaler),2025-03-06 6:35,35.202279,129.083947
001.8805843.584374.000000002,2,Product 1,Busan_dongnea,stock_outbound(Wholesaler),2025-03-29 2:05,35.202279,129.083947
001.8805843.584374.000000002,2,Product 1,Busan_gumjung,stock_inbound(Reseller),2025-03-29 4:00,35.259242,129.092119
001.8805843.584374.000000002,2,Product 1,Busan_gumjung,stock_outbound(Sell),2025-03-30 16:34,35.259242,129.092119
001.8805843.584374.000000003,3,Product 1,Yeongju,commissioning,2025-01-21 17:54,36.8032,128.6083
001.8805843.584374.000000003,3,Product 1,Yeongju,aggregation,2025-01-21 18:15,36.8032,128.6083
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_inbound,2025-01-21 19:11,36.8032,128.6083
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_outbound,2025-02-02 20:43,36.8032,128.6083
