epc_code,product_serial,product_name,hub_type,event_type,event_time,Detect
001.8805843.238435.000049998,49998,Product 4,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.238435.000049998,49998,Product 4,Gumi,aggregation,2025-01-21 18:23,허브타입 변경
001.8805843.238435.000049998,49998,Product 4,Yeongju,WMS_inbound,2025-01-21 18:54,
001.8805843.238435.000049998,49998,Product 4,Yeongju,WMS_outbound,2025-01-27 9:24,
001.8805843.238435.000049998,49998,Product 4,Daegu_donggu,stock_inbound(HUB),2025-01-27 18:03,
001.8805843.238435.000049998,49998,Product 4,Kangwon,stock_outbound(HUB),2025-02-02 16:49,
001.8805843.238435.000049998,49998,Product 4,Daegu_donggu,stock_inbound(Wholesaler),2025-02-03 0:40,
001.8805843.238435.000049998,49998,Product 4,Daegu_junggu,stock_outbound(Wholesaler),2025-02-04 18:46,
001.8805843.238435.000049998,49998,Product 4,Daegu_junggu,stock_inbound(Reseller),2025-02-04 21:20,
001.8805843.238435.000049998,49998,Product 4,Daegu_bukgu,stock_outbound(Sell),2025-02-18 21:53,
001.8805843.238435.000049999,49999,Product 4,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.238435.000049999,49999,Product 4,Busan_yangsan,aggregation,2025-01-21 17:57,허브타입 변경
001.8805843.238435.000049999,49999,Product 4,Yeongju,WMS_inbound,2025-01-21 18:30,
001.8805843.238435.000049999,49999,Product 4,Yeongju,WMS_outbound,2025-02-02 3:45,
001.8805843.238435.000049999,49999,Product 4,Busan_yangsan,stock_inbound(HUB),2025-02-02 9:00,
001.8805843.238435.000049999,49999,Product 4,Busan_dongnea,stock_outbound(HUB),2025-03-04 6:38,
001.8805843.238435.000049999,49999,Product 4,Yeongju,stock_inbound(Wholesaler),2025-03-04 12:38,
001.8805843.238435.000049999,49999,Product 4,Busan_dongnea,stock_outbound(Wholesaler),2025-03-21 21:48,
001.8805843.238435.000049999,49999,Product 4,Kangwon,stock_inbound(Reseller),2025-03-21 23:02,
001.8805843.238435.000049999,49999,Product 4,Busan_gumjung,stock_outbound(Sell),2025-04-17 11:57,
001.8805843.238435.000050000,50000,Product 4,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.238435.000050000,50000,Product 4,Gwangju_donggu,aggregation,2025-01-21 17:57,허브타입 변경
001.8805843.238435.000050000,50000,Product 4,Yeongju,WMS_inbound,2025-01-21 18:43,
001.8805843.238435.000050000,50000,Product 4,Yeongju,WMS_outbound,2025-02-14 10:08,
001.8805843.238435.000050000,50000,Product 4,Gwangju_donggu,stock_inbound(HUB),2025-02-14 14:00,
001.8805843.238435.000050000,50000,Product 4,Gwangju_junggu,stock_outbound(HUB),2025-03-08 10:30,
001.8805843.238435.000050000,50000,Product 4,Gwangju_junggu,stock_inbound(Wholesaler),2025-03-08 17:03,
001.8805843.238435.000050000,50000,Product 4,Gwangju_bukgu,stock_outbound(Wholesaler),2025-04-13 15:53,
001.8805843.238435.000050000,50000,Product 4,Gwangju_bukgu,stock_inbound(Reseller),2025-04-13 20:43,
001.8805843.238435.000050000,50000,Product 4,Gwangju_bukgu,stock_outbound(Sell),2025-05-11 13:12,
001.8805843.584374.000000148,148,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000148,148,Product 1,Yeongju,aggregation,2025-01-21 17:58,
001.8805843.584374.000000148,148,Product 1,Yeongju,WMS_inbound,2025-01-21 18:09,
001.8805843.584374.000000148,148,Product 1,Yeongju,illegal_transfer,2025-02-11 7:55,허용되지 않은 이벤트 발생 감지
001.8805843.584374.000000148,148,Product 1,Busan_gumjung,stock_inbound(HUB),2025-02-11 9:50,
001.8805843.584374.000000148,148,Product 1,Busan_yangsan,stock_outbound(HUB),2025-02-22 4:57,
001.8805843.584374.000000148,148,Product 1,Busan_yangsan,stock_inbound(Wholesaler),2025-02-22 8:33,
001.8805843.584374.000000148,148,Product 1,Busan_dongnea,stock_outbound(Wholesaler),2025-03-02 2:46,
001.8805843.584374.000000148,148,Product 1,Busan_dongnea,stock_inbound(Reseller),2025-03-02 10:08,
001.8805843.584374.000000148,148,Product 1,Busan_gumjung,stock_outbound(Sell),2025-03-10 22:56,
001.8805843.584374.000000149,149,Product 1,Yeongju,commissioning,2025-01-21 17:54,
