epc_code,product_serial,product_name,hub_type,event_type,event_time
001.8805843.584374.000000001,1,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000001,1,Product 1,Yeongju,aggregation,2025-01-21 18:15
001.8805843.584374.000000001,1,Product 1,Yeongju,WMS_inbound,2025-01-21 18:55
001.8805843.584374.000000001,1,Product 1,Yeongju,WMS_outbound,2025-01-25 7:35
001.8805843.584374.000000001,1,Product 1,Busan_yangsan,stock_inbound(HUB),2025-01-25 10:51
001.8805843.584374.000000001,1,Product 1,Busan_yangsan,stock_outbound(HUB),2025-03-02 4:15
001.8805843.584374.000000001,1,Product 1,Busan_dongnea,stock_inbound(Wholesaler),2025-03-02 12:21
001.8805843.584374.000000001,1,Product 1,Busan_dongnea,stock_outbound(Wholesaler),2025-03-28 3:16
001.8805843.584374.000000001,1,Product 1,Busan_gumjung,stock_inbound(Reseller),2025-03-28 7:33
001.8805843.584374.000000001,1,Product 1,Busan_gumjung,stock_outbound(Sell),2025-04-17 14:25
001.8805843.584374.000000002,2,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000002,2,Product 1,Yeongju,aggregation,2025-01-21 18:20
001.8805843.584374.000000002,2,Product 1,Yeongju,WMS_inbound,2025-01-21 18:50
001.8805843.584374.000000002,2,Product 1,Yeongju,WMS_outbound,2025-02-07 6:47
001.8805843.584374.000000002,2,Product 1,Daejeon_donggu,stock_inbound(HUB),2025-02-07 9:20
001.8805843.584374.000000002,2,Product 1,Daejeon_donggu,stock_outbound(HUB),2025-03-06 5:35
001.8805843.584374.000000002,2,Product 1,Daejeon_junggu,stock_inbound(Wholesaler),2025-03-06 6:35
001.8805843.584374.000000002,2,Product 1,Daejeon_junggu,stock_outbound(Wholesaler),2025-03-29 2:05
001.8805843.584374.000000002,2,Product 1,Daejeon_bukgu,stock_inbound(Reseller),2025-03-29 4:00
001.8805843.584374.000000002,2,Product 1,Daejeon_bukgu,stock_outbound(Sell),2025-03-30 16:34
001.8805843.584374.000000003,3,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000003,3,Product 1,Yeongju,aggregation,2025-01-21 18:15
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_inbound,2025-01-21 19:11
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_outbound,2025-02-02 20:43
001.8805843.584374.000000003,3,Product 1,Busan_yangsan,stock_inbound(HUB),2025-02-03 1:23
001.8805843.584374.000000003,3,Product 1,Busan_yangsan,stock_outbound(HUB),2025-03-07 2:46
001.8805843.584374.000000003,3,Product 1,Busan_dongnea,stock_inbound(Wholesaler),2025-03-07 6:22
001.8805843.584374.000000003,3,Product 1,Busan_dongnea,stock_outbound(Wholesaler),2025-04-07 0:04
001.8805843.584374.000000003,3,Product 1,Busan_gumjung,stock_inbound(Reseller),2025-04-07 2:29
001.8805843.584374.000000003,3,Product 1,Busan_gumjung,stock_outbound(Sell),2025-04-21 5:36
001.8805843.584374.000000004,4,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000004,4,Product 1,Yeongju,aggregation,2025-01-21 18:08
001.8805843.584374.000000004,4,Product 1,Yeongju,WMS_inbound,2025-01-21 18:59
001.8805843.584374.000000004,4,Product 1,Yeongju,WMS_outbound,2025-02-14 6:58
001.8805843.584374.000000004,4,Product 1,Daejeon_donggu,stock_inbound(HUB),2025-02-14 11:01
001.8805843.584374.000000004,4,Product 1,Daejeon_donggu,stock_outbound(HUB),2025-03-19 3:36
001.8805843.584374.000000004,4,Product 1,Daejeon_junggu,stock_inbound(Wholesaler),2025-03-19 11:13
001.8805843.584374.000000004,4,Product 1,Daejeon_junggu,stock_outbound(Wholesaler),2025-03-30 6:51
001.8805843.584374.000000004,4,Product 1,Daejeon_bukgu,stock_inbound(Reseller),2025-03-30 14:18
001.8805843.584374.000000004,4,Product 1,Daejeon_bukgu,stock_outbound(Sell),2025-04-11 23:39
001.8805843.584374.000000005,5,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000005,5,Product 1,Yeongju,aggregation,2025-01-21 18:03
001.8805843.584374.000000005,5,Product 1,Yeongju,WMS_inbound,2025-01-21 18:22
001.8805843.584374.000000005,5,Product 1,Yeongju,WMS_outbound,2025-01-24 20:08
