epc_code,product_serial,product_name,hub_type,event_type,event_time
001.8805843.584374.000000003,3,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000003,3,Product 1,Yeongju,aggregation,2025-01-21 18:15
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_inbound,2025-01-21 19:11
001.8805843.584374.000000003,3,Product 1,Yeongju,WMS_outbound,2025-02-02 20:43
001.8805843.584374.000000003,3,Product 1,Busan,illegal_transfer,2025-02-03 1:23
001.8805843.584374.000000003,3,Product 1,Busan,stock_outbound(HUB),2025-03-07 2:46
001.8805843.584374.000000003,3,Product 1,Busan,stock_inbound(Wholesaler),2025-03-07 6:22
001.8805843.584374.000000003,3,Product 1,Busan,stock_outbound(Wholesaler),2025-04-07 0:04
001.8805843.584374.000000003,3,Product 1,Busan,stock_inbound(Reseller),2025-04-07 2:29
001.8805843.584374.000000003,3,Product 1,Busan,stock_outbound(Sell),2025-04-21 5:36
001.8805843.584374.000000005,5,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000005,5,Product 1,Yeongju,aggregation,2025-01-21 18:03
001.8805843.584374.000000005,5,Product 1,Yeongju,illegal_transfer,2025-01-21 18:22
001.8805843.584374.000000005,5,Product 1,Yeongju,WMS_outbound,2025-01-24 20:08
001.8805843.584374.000000005,5,Product 1,Busan,stock_inbound(HUB),2025-01-24 22:46
001.8805843.584374.000000005,5,Product 1,Busan,stock_outbound(HUB),2025-02-14 22:17
001.8805843.584374.000000005,5,Product 1,Busan,stock_inbound(Wholesaler),2025-02-15 3:01
001.8805843.584374.000000005,5,Product 1,Busan,stock_outbound(Wholesaler),2025-02-19 6:54
001.8805843.584374.000000005,5,Product 1,Busan,stock_inbound(Reseller),2025-02-19 16:05
001.8805843.584374.000000005,5,Product 1,Busan,stock_outbound(Sell),2025-02-27 23:18
001.8805843.584374.000000007,7,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000007,7,Product 1,Yeongju,aggregation,2025-01-21 18:20
001.8805843.584374.000000007,7,Product 1,Yeongju,WMS_inbound,2025-01-21 18:38
001.8805843.584374.000000007,7,Product 1,Yeongju,illegal_transfer,2025-02-18 5:20
001.8805843.584374.000000007,7,Product 1,Seoul,stock_inbound(HUB),2025-02-18 10:57
001.8805843.584374.000000007,7,Product 1,Seoul,stock_outbound(HUB),2025-03-10 9:39
001.8805843.584374.000000007,7,Product 1,Seoul,stock_inbound(Wholesaler),2025-03-10 18:43
001.8805843.584374.000000007,7,Product 1,Seoul,stock_outbound(Wholesaler),2025-03-18 11:47
001.8805843.584374.000000007,7,Product 1,Seoul,stock_inbound(Reseller),2025-03-18 13:03
001.8805843.584374.000000007,7,Product 1,Seoul,stock_outbound(Sell),2025-04-02 3:43
001.8805843.584374.000000012,12,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000012,12,Product 1,Yeongju,aggregation,2025-01-21 18:10
001.8805843.584374.000000012,12,Product 1,Yeongju,WMS_inbound,2025-01-21 18:49
001.8805843.584374.000000012,12,Product 1,Yeongju,WMS_outbound,2025-01-31 1:45
001.8805843.584374.000000012,12,Product 1,Daegu,stock_inbound(HUB),2025-01-31 2:49
001.8805843.584374.000000012,12,Product 1,Daegu,stock_inbound(Wholesaler),2025-02-10 3:53
001.8805843.584374.000000012,12,Product 1,Daegu,stock_outbound(Wholesaler),2025-03-05 13:54
001.8805843.584374.000000012,12,Product 1,Daegu,stock_inbound(Reseller),2025-03-05 19:24
