epc_code,product_serial,product_name,hub_type,event_type,event_time
001.8805843.584374.000000081,81,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000081,81,Product 1,Yeongju,aggregation,2025-01-21 18:17
001.8805843.584374.000000081,81,Product 1,Yeongju,WMS_inbound,2025-01-21 19:13
001.8805843.584374.000000081,81,Product 1,Yeongju,WMS_outbound,2025-02-25 20:35
001.8805843.584374.000000081,81,Product 1,Seoul,stock_inbound(HUB),2025-02-26 6:02
001.8805843.584374.000000081,81,Product 1,Seoul,stock_outbound(HUB),2025-03-07 13:36
001.8805843.584374.000000081,81,Product 1,Seoul,stock_inbound(Wholesaler),2025-03-07 15:03
001.8805843.584374.000000081,81,Product 1,Seoul,stock_outbound(Wholesaler),2025-04-11 11:09
001.8805843.584374.000000081,81,Product 1,Seoul,stock_inbound(Reseller),2025-04-11 21:06
001.8805843.584374.000000081,81,Product 1,Seoul,stock_outbound(Sell),2025-04-19 10:58
001.8805843.584374.000000082,82,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000082,82,Product 1,Yeongju,aggregation,2025-01-21 18:13
001.8805843.584374.000000082,82,Product 1,Yeongju,WMS_inbound,2025-01-21 18:23
001.8805843.584374.000000082,82,Product 1,Yeongju,WMS_outbound,2025-02-07 19:54
001.8805843.584374.000000082,82,Product 1,Seoul,stock_inbound(HUB),2025-02-07 23:58
001.8805843.584374.000000082,82,Product 1,Seoul,stock_outbound(HUB),2025-03-04 19:03
001.8805843.584374.000000082,82,Product 1,Seoul,stock_inbound(Wholesaler),2025-03-05 2:07
001.8805843.584374.000000082,82,Product 1,Seoul,stock_outbound(Wholesaler),2025-03-30 18:17
001.8805843.584374.000000082,82,Product 1,Seoul,stock_inbound(Reseller),2025-03-30 22:22
001.8805843.584374.000000082,82,Product 1,Seoul,stock_outbound(Sell),2025-04-27 4:48
001.8805843.584374.000000083,83,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000083,83,Product 1,Yeongju,aggregation,2025-01-21 18:14
001.8805843.584374.000000083,83,Product 1,Yeongju,WMS_inbound,2025-01-21 19:05
001.8805843.584374.000000083,83,Product 1,Yeongju,WMS_outbound,2025-01-22 12:16
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_inbound(HUB),2025-01-22 20:04
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_outbound(HUB),2025-01-23 11:09
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_inbound(Wholesaler),2025-01-23 12:12
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_outbound(Wholesaler),2025-02-18 20:10
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_inbound(Reseller),2025-02-19 4:07
001.8805843.584374.000000083,83,Product 1,Gwangju,stock_outbound(Sell),2025-03-15 4:22
001.8805843.584374.000000084,84,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000084,84,Product 1,Yeongju,aggregation,2025-01-21 18:12
001.8805843.584374.000000084,84,Product 1,Yeongju,WMS_inbound,2025-01-21 18:45
001.8805843.584374.000000084,84,Product 1,Yeongju,WMS_outbound,2025-02-15 15:25
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_inbound(HUB),2025-02-15 21:46
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_outbound(HUB),2025-02-25 1:34
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_inbound(Wholesaler),2025-02-25 3:31
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_outbound(Wholesaler),2025-02-26 7:52
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_inbound(Reseller),2025-02-26 9:27
001.8805843.584374.000000084,84,Product 1,Gwangju,stock_outbound(Sell),2025-03-01 12:42
001.8805843.584374.000000085,85,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000085,85,Product 1,Yeongju,aggregation,2025-01-21 18:24
001.8805843.584374.000000085,85,Product 1,Yeongju,WMS_inbound,2025-01-21 19:23
001.8805843.584374.000000085,85,Product 1,Yeongju,WMS_outbound,2025-01-27 15:15
001.8805843.584374.000000085,85,Product 1,Busan,stock_inbound(HUB),2025-01-27 20:36
001.8805843.584374.000000085,85,Product 1,Busan,stock_outbound(HUB),2025-02-07 8:32
001.8805843.584374.000000085,85,Product 1,Busan,stock_inbound(Wholesaler),2025-02-07 14:06
001.8805843.584374.000000085,85,Product 1,Busan,stock_outbound(Wholesaler),2025-02-16 13:11
001.8805843.584374.000000085,85,Product 1,Busan,stock_inbound(Reseller),2025-02-16 14:54
001.8805843.584374.000000085,85,Product 1,Busan,stock_outbound(Sell),2025-02-27 0:28
001.8805843.584374.000000086,86,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000086,86,Product 1,Yeongju,aggregation,2025-01-21 18:15
001.8805843.584374.000000086,86,Product 1,Yeongju,WMS_inbound,2025-01-21 19:05
001.8805843.584374.000000086,86,Product 1,Yeongju,WMS_outbound,2025-01-28 15:41
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_inbound(HUB),2025-01-28 16:44
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_outbound(HUB),2025-02-05 19:51
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_inbound(Wholesaler),2025-02-06 5:04
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_outbound(Wholesaler),2025-03-08 2:59
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_inbound(Reseller),2025-03-08 5:44
001.8805843.584374.000000086,86,Product 1,Daejeon,stock_outbound(Sell),2025-03-12 11:58
001.8805843.584374.000000087,87,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000087,87,Product 1,Yeongju,aggregation,2025-01-21 17:59
001.8805843.584374.000000087,87,Product 1,Yeongju,WMS_inbound,2025-01-21 18:25
001.8805843.584374.000000087,87,Product 1,Yeongju,WMS_outbound,2025-02-10 19:16
001.8805843.584374.000000087,87,Product 1,Daegu,stock_inbound(HUB),2025-02-11 5:07
001.8805843.584374.000000087,87,Product 1,Daegu,stock_outbound(HUB),2025-03-03 0:36
001.8805843.584374.000000087,87,Product 1,Daegu,stock_inbound(Wholesaler),2025-03-03 3:42
001.8805843.584374.000000087,87,Product 1,Daegu,stock_outbound(Wholesaler),2025-03-30 12:39
001.8805843.584374.000000087,87,Product 1,Daegu,stock_inbound(Reseller),2025-03-30 20:22
001.8805843.584374.000000087,87,Product 1,Daegu,stock_outbound(Sell),2025-04-17 15:58
001.8805843.584374.000000088,88,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000088,88,Product 1,Yeongju,aggregation,2025-01-21 17:56
001.8805843.584374.000000088,88,Product 1,Yeongju,WMS_inbound,2025-01-21 18:11
001.8805843.584374.000000088,88,Product 1,Yeongju,WMS_outbound,2025-02-17 4:39
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_inbound(HUB),2025-02-17 10:30
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_outbound(HUB),2025-03-03 21:13
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_inbound(Wholesaler),2025-03-03 23:11
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_outbound(Wholesaler),2025-03-18 7:57
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_inbound(Reseller),2025-03-18 9:16
001.8805843.584374.000000088,88,Product 1,Daejeon,stock_outbound(Sell),2025-03-26 14:20
001.8805843.584374.000000089,89,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000089,89,Product 1,Yeongju,aggregation,2025-01-21 18:22
001.8805843.584374.000000089,89,Product 1,Yeongju,WMS_inbound,2025-01-21 18:44
001.8805843.584374.000000089,89,Product 1,Yeongju,WMS_outbound,2025-01-22 7:23
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_inbound(HUB),2025-01-22 9:37
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_outbound(HUB),2025-02-05 16:34
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_inbound(Wholesaler),2025-02-05 23:34
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_outbound(Wholesaler),2025-02-11 4:07
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_inbound(Reseller),2025-02-11 7:19
001.8805843.584374.000000089,89,Product 1,Daejeon,stock_outbound(Sell),2025-02-14 17:13
001.8805843.584374.000000090,90,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000090,90,Product 1,Yeongju,aggregation,2025-01-21 17:59
001.8805843.584374.000000090,90,Product 1,Yeongju,WMS_inbound,2025-01-21 18:37
001.8805843.584374.000000090,90,Product 1,Yeongju,WMS_outbound,2025-02-22 13:11
001.8805843.584374.000000090,90,Product 1,Busan,stock_inbound(HUB),2025-02-22 19:31
001.8805843.584374.000000090,90,Product 1,Busan,stock_outbound(HUB),2025-03-28 2:08
001.8805843.584374.000000090,90,Product 1,Busan,stock_inbound(Wholesaler),2025-03-28 7:58
001.8805843.584374.000000090,90,Product 1,Busan,stock_outbound(Wholesaler),2025-04-18 16:08
001.8805843.584374.000000090,90,Product 1,Busan,stock_inbound(Reseller),2025-04-18 21:51
001.8805843.584374.000000090,90,Product 1,Busan,stock_outbound(Sell),2025-04-22 20:08
001.8805843.584374.000000091,91,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000091,91,Product 1,Yeongju,aggregation,2025-01-21 18:04
001.8805843.584374.000000091,91,Product 1,Yeongju,WMS_inbound,2025-01-21 19:04
001.8805843.584374.000000091,91,Product 1,Yeongju,WMS_outbound,2025-02-15 11:59
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_inbound(HUB),2025-02-15 18:45
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_outbound(HUB),2025-03-02 23:34
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_inbound(Wholesaler),2025-03-03 1:52
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_outbound(Wholesaler),2025-03-21 5:30
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_inbound(Reseller),2025-03-21 15:16
001.8805843.584374.000000091,91,Product 1,Daejeon,stock_outbound(Sell),2025-04-10 14:49
001.8805843.584374.000000092,92,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000092,92,Product 1,Yeongju,aggregation,2025-01-21 17:58
001.8805843.584374.000000092,92,Product 1,Yeongju,WMS_inbound,2025-01-21 18:58
001.8805843.584374.000000092,92,Product 1,Yeongju,WMS_outbound,2025-01-27 16:28
001.8805843.584374.000000092,92,Product 1,Daegu,stock_inbound(HUB),2025-01-27 19:47
001.8805843.584374.000000092,92,Product 1,Daegu,stock_outbound(HUB),2025-01-27 22:29
001.8805843.584374.000000092,92,Product 1,Daegu,stock_inbound(Wholesaler),2025-01-28 0:33
001.8805843.584374.000000092,92,Product 1,Daegu,stock_outbound(Wholesaler),2025-01-30 6:50
001.8805843.584374.000000092,92,Product 1,Daegu,stock_inbound(Reseller),2025-01-30 11:50
001.8805843.584374.000000092,92,Product 1,Daegu,stock_outbound(Sell),2025-03-04 7:13
001.8805843.584374.000000093,93,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000093,93,Product 1,Yeongju,aggregation,2025-01-21 17:59
001.8805843.584374.000000093,93,Product 1,Yeongju,WMS_inbound,2025-01-21 18:41
001.8805843.584374.000000093,93,Product 1,Yeongju,WMS_outbound,2025-02-20 0:41
001.8805843.584374.000000093,93,Product 1,Seoul,stock_inbound(HUB),2025-02-20 5:00
001.8805843.584374.000000093,93,Product 1,Seoul,stock_outbound(HUB),2025-03-04 0:26
001.8805843.584374.000000093,93,Product 1,Seoul,stock_inbound(Wholesaler),2025-03-04 2:12
001.8805843.584374.000000093,93,Product 1,Seoul,stock_outbound(Wholesaler),2025-03-29 20:53
001.8805843.584374.000000093,93,Product 1,Seoul,stock_inbound(Reseller),2025-03-30 3:58
001.8805843.584374.000000093,93,Product 1,Seoul,stock_outbound(Sell),2025-04-30 19:31
001.8805843.584374.000000094,94,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000094,94,Product 1,Yeongju,aggregation,2025-01-21 17:59
001.8805843.584374.000000094,94,Product 1,Yeongju,WMS_inbound,2025-01-21 18:58
001.8805843.584374.000000094,94,Product 1,Yeongju,WMS_outbound,2025-01-23 3:54
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_inbound(HUB),2025-01-23 6:38
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_outbound(HUB),2025-02-23 5:22
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_inbound(Wholesaler),2025-02-23 7:39
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_outbound(Wholesaler),2025-03-31 9:33
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_inbound(Reseller),2025-03-31 11:31
001.8805843.584374.000000094,94,Product 1,Gwangju,stock_outbound(Sell),2025-04-24 8:41
001.8805843.584374.000000095,95,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000095,95,Product 1,Yeongju,aggregation,2025-01-21 18:01
001.8805843.584374.000000095,95,Product 1,Yeongju,WMS_inbound,2025-01-21 18:58
001.8805843.584374.000000095,95,Product 1,Yeongju,WMS_outbound,2025-02-22 19:30
001.8805843.584374.000000095,95,Product 1,Busan,stock_inbound(HUB),2025-02-23 4:12
001.8805843.584374.000000095,95,Product 1,Busan,stock_outbound(HUB),2025-02-26 11:31
001.8805843.584374.000000095,95,Product 1,Busan,stock_inbound(Wholesaler),2025-02-26 18:57
001.8805843.584374.000000095,95,Product 1,Busan,stock_outbound(Wholesaler),2025-03-24 0:03
001.8805843.584374.000000095,95,Product 1,Busan,stock_inbound(Reseller),2025-03-24 5:47
001.8805843.584374.000000095,95,Product 1,Busan,stock_outbound(Sell),2025-04-15 5:36
001.8805843.584374.000000096,96,Product 1,Yeongju,commissioning,2025-01-21 17:54
001.8805843.584374.000000096,96,Product 1,Yeongju,aggregation,2025-01-21 18:03
001.8805843.584374.000000096,96,Product 1,Yeongju,WMS_inbound,2025-01-21 18:33
