epc_code,product_serial,product_name,hub_type,event_type,event_time
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_inbound(Reseller),2025-01-21 17:54
001.8805843.584374.000001291,1291,Product 1,Yeongju,aggregation,2025-01-31 18:19
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_outbound(HUB),2025-01-21 18:44
001.8805843.584374.000001291,1291,Product 1,Yeongju,commissioning,2025-02-12 13:41
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_outbound(Wholesaler),2025-02-12 20:50
001.8805843.584374.000001291,1291,Product 1,Yeongju,WMS_inbound,2025-03-04 9:13
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_outbound(Sell),2025-03-04 18:42
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_inbound(HUB),2025-03-16 14:28
001.8805843.584374.000001291,1291,Product 1,Yeongju,WMS_outbound,2025-03-16 21:00
001.8805843.584374.000001291,1291,Product 1,Daejeon,stock_inbound(Wholesaler),2025-04-21 0:43
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_inbound(Reseller),2025-02-21 17:54
001.8805843.584374.000001292,1292,Product 1,Yeongju,aggregation,2025-01-21 18:02
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_outbound(HUB),2025-01-21 18:53
001.8805843.584374.000001292,1292,Product 1,Yeongju,commissioning,2025-01-30 16:47
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_outbound(Wholesaler),2025-01-30 22:39
001.8805843.584374.000001292,1292,Product 1,Yeongju,WMS_inbound,2025-02-07 17:10
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_outbound(Sell),2025-02-08 3:04
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_inbound(HUB),2025-02-08 14:58
001.8805843.584374.000001292,1292,Product 1,Yeongju,WMS_outbound,2025-02-08 20:11
001.8805843.584374.000001292,1292,Product 1,Daegu,stock_inbound(Wholesaler),2025-03-02 0:32
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_inbound(Reseller),2025-01-21 17:54
001.8805843.584374.000001293,1293,Product 1,Yeongju,aggregation,2025-01-21 18:06
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_outbound(HUB),2025-01-21 18:59
001.8805843.584374.000001293,1293,Product 1,Yeongju,commissioning,2025-01-30 15:28
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_outbound(Wholesaler),2025-01-30 20:19
001.8805843.584374.000001293,1293,Product 1,Yeongju,WMS_inbound,2025-02-18 6:19
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_outbound(Sell),2025-02-18 16:11
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_inbound(HUB),2025-03-02 4:56
001.8805843.584374.000001293,1293,Product 1,Yeongju,WMS_outbound,2025-03-02 12:46
001.8805843.584374.000001293,1293,Product 1,Daegu,stock_inbound(Wholesaler),2025-04-05 12:43
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_inbound(Reseller),2025-01-21 17:54
001.8805843.584374.000001294,1294,Product 1,Yeongju,aggregation,2025-01-21 18:14
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_outbound(HUB),2025-01-21 18:28
001.8805843.584374.000001294,1294,Product 1,Yeongju,commissioning,2025-01-26 3:43
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_outbound(Wholesaler),2025-01-26 11:56
001.8805843.584374.000001294,1294,Product 1,Yeongju,WMS_inbound,2025-03-04 14:43
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_outbound(Sell),2025-02-22 22:17
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_inbound(HUB),2025-03-14 18:06
001.8805843.584374.000001294,1294,Product 1,Yeongju,WMS_outbound,2025-03-15 0:10
001.8805843.584374.000001294,1294,Product 1,Gwangju,stock_inbound(Wholesaler),2025-04-13 20:08
001.8805843.584374.000001295,1295,Product 1,Gwangju,stock_inbound(Reseller),2025-01-21 17:54
001.8805843.584374.000001295,1295,Product 1,Yeongju,aggregation,2025-01-21 18:18
001.8805843.584374.000001295,1295,Product 1,Gwangju,stock_outbound(HUB),2025-01-21 18:57
001.8805843.584374.000001295,1295,Product 1,Yeongju,commissioning,2025-02-12 6:32
001.8805843.584374.000001295,1295,Product 1,Gwangju,stock_outbound(Wholesaler),2025-02-12 13:17
001.8805843.584374.000001295,1295,Product 1,Yeongju,WMS_inbound,2025-03-28 5:21
